Modification	PeaksSource	Library	I	TruePeaks	Tool	Fdr	Peaks	Precision	Recall
H3K27ac	encode	500k	1	500	Macs2	0.1	1474	474	481
H3K27ac	encode	500k	1	500	Macs2	0.05	867	470	479
H3K27ac	encode	500k	1	500	Macs2	0.01	494	468	487
H3K27ac	encode	500k	1	500	Macs2	1e-3	476	462	476
H3K27ac	encode	500k	1	500	Macs2	1e-4	468	452	468
H3K27ac	encode	500k	1	500	Macs2	1e-5	463	444	463
H3K27ac	encode	500k	1	500	Macs2	1e-6	451	433	451
H3K27ac	encode	500k	1	500	Macs2Broad	0.1	2053	478	451
H3K27ac	encode	500k	1	500	Macs2Broad	0.05	987	474	448
H3K27ac	encode	500k	1	500	Macs2Broad	0.01	462	471	447
H3K27ac	encode	500k	1	500	Macs2Broad	1e-3	444	467	444
H3K27ac	encode	500k	1	500	Macs2Broad	1e-4	440	459	440
H3K27ac	encode	500k	1	500	Macs2Broad	1e-5	432	451	432
H3K27ac	encode	500k	1	500	Macs2Broad	1e-6	427	445	427
H3K27ac	encode	500k	1	500	SPAN-GAP5	1E-6	435	469	435
H3K27ac	encode	500k	1	500	SPAN-GAP5	0.1	451	486	451
H3K27ac	encode	500k	1	500	SPAN-GAP5	0.05	450	485	450
H3K27ac	encode	500k	1	500	SPAN-GAP5	0.01	451	485	451
H3K27ac	encode	500k	1	500	SPAN-GAP5	0.001	449	483	449
H3K27ac	encode	500k	1	500	SPAN-GAP5	0.0001	447	481	447
H3K27ac	encode	500k	1	500	SPAN-GAP5	1e-05	442	476	442
H3K27ac	encode	500k	1	500	SPAN-GAP5	1e-06	435	469	435
H3K27ac	encode	500k	1	500	SPAN-NBHMM2NZ	0.1	1102	498	420
H3K27ac	encode	500k	1	500	SPAN-NBHMM2NZ	0.05	734	495	425
H3K27ac	encode	500k	1	500	SPAN-NBHMM2NZ	0.01	562	487	422
H3K27ac	encode	500k	1	500	SPAN-NBHMM2NZ	0.001	540	478	429
H3K27ac	encode	500k	1	500	SPAN-NBHMM2NZ	0.0001	866	455	416
H3K27ac	encode	500k	1	500	SPAN-NBHMM2NZ	1e-05	405	434	404
H3K27ac	encode	500k	1	500	SPAN-NBHMM2NZ	1e-06	403	432	402
H3K27ac	encode	500k	1	500	SPAN-NBHMM3NZ	0.1	986	500	420
