dataset	caller	fold.id	training.error	optimal.param	test.error
1	H3K36me3_AM_immune	ccat.histone.default	1	63.1501831501832	5	67.7248677248677
2	H3K36me3_AM_immune	ccat.histone.default	2	61.1241217798595	5	72.5108225108225
3	H3K36me3_AM_immune	ccat.histone.default	3	63.3333333333333	5	66.2525879917184
4	H3K36me3_AM_immune	ccat.histone.default	4	68.8586545729403	5	49.2857142857143
5	H3K36me3_TDH_immune	ccat.histone.default	1	60.7619047619048	5	85.7142857142857
6	H3K36me3_TDH_immune	ccat.histone.default	2	59.4202898550725	5	82.9931972789116
7	H3K36me3_TDH_immune	ccat.histone.default	3	70.1863354037267	5	47.6190476190476
8	H3K36me3_TDH_immune	ccat.histone.default	4	70.6766917293233	5	54.978354978355
9	H3K36me3_TDH_other	ccat.histone.default	1	64.5833333333333	5	96.4285714285714
10	H3K36me3_TDH_other	ccat.histone.default	2	76.9736842105263	5	62.5
11	H3K36me3_TDH_other	ccat.histone.default	3	68.75	5	85.7142857142857
12	H3K36me3_TDH_other	ccat.histone.default	4	82.5	5	37.5
13	H3K4me3_PGP_immune	ccat.histone.default	1	75.4208754208754	5	91.1283376399656
14	H3K4me3_PGP_immune	ccat.histone.default	2	81.3776393215646	5	76.5079365079365
15	H3K4me3_PGP_immune	ccat.histone.default	3	82.1673525377229	5	73.8562091503268
16	H3K4me3_PGP_immune	ccat.histone.default	4	81.3161375661376	5	75.9259259259259
17	H3K4me3_TDH_immune	ccat.histone.default	1	87.6543209876543	5	87.9084967320261
18	H3K4me3_TDH_immune	ccat.histone.default	2	89.8860398860399	5	80.6712962962963
19	H3K4me3_TDH_immune	ccat.histone.default	3	84.2083842083842	5	94.8148148148148
20	H3K4me3_TDH_immune	ccat.histone.default	4	88.621955288622	5	83.7037037037037
21	H3K4me3_TDH_other	ccat.histone.default	1	82.247191011236	5	73.125
22	H3K4me3_TDH_other	ccat.histone.default	2	75.6190476190476	5	90.3125
23	H3K4me3_TDH_other	ccat.histone.default	3	79.4495412844037	5	77.5
24	H3K4me3_TDH_other	ccat.histone.default	4	79.3518518518518	5	77.9310344827586
25	H3K4me3_XJ_immune	ccat.histone.default	1	79.1423001949318	5	82.9059829059829
26	H3K4me3_XJ_immune	ccat.histone.default	2	77.1296296296296	5	90.9090909090909
27	H3K4me3_XJ_immune	ccat.histone.default	3	83.0246913580247	5	73.0864197530864
28	H3K4me3_XJ_immune	ccat.histone.default	4	81.3865147198481	5	75.9259259259259
29	H3K36me3_AM_immune	ccat.histone.trained	1	54.3589743589744	16.5958690743756	54.2328042328042
30	H3K36me3_AM_immune	ccat.histone.trained	2	53.551912568306	19.9526231496888	56.4935064935065
31	H3K36me3_AM_immune	ccat.histone.trained	3	51.3492063492063	28.8403150312661	61.0766045548654
32	H3K36me3_AM_immune	ccat.histone.trained	4	55.9334845049131	28.8403150312661	48.0952380952381
33	H3K36me3_TDH_immune	ccat.histone.trained	1	52.5714285714286	13.8038426460289	74.2857142857143
34	H3K36me3_TDH_immune	ccat.histone.trained	2	54.0372670807453	7.94328234724282	78.2312925170068
35	H3K36me3_TDH_immune	ccat.histone.trained	3	58.3850931677019	21.8776162394955	53.7414965986395
36	H3K36me3_TDH_immune	ccat.histone.trained	4	52.3809523809524	21.8776162394955	65.8008658008658
37	H3K36me3_TDH_other	ccat.histone.trained	1	55.5555555555556	7.94328234724282	94.6428571428571
38	H3K36me3_TDH_other	ccat.histone.trained	2	64.4736842105263	26.3026799189538	58.3333333333333
39	H3K36me3_TDH_other	ccat.histone.trained	3	58.3333333333333	11.4815362149688	83.9285714285714
40	H3K36me3_TDH_other	ccat.histone.trained	4	62.5	39.8107170553497	65
41	H3K4me3_PGP_immune	ccat.histone.trained	1	57.0894126449682	300	57.0198105081826
42	H3K4me3_PGP_immune	ccat.histone.trained	2	57.8400830737279	Inf	53.968253968254
43	H3K4me3_PGP_immune	ccat.histone.trained	3	57.1673525377229	Inf	55.9912854030501
44	H3K4me3_PGP_immune	ccat.histone.trained	4	55.5224867724868	Inf	61.9753086419753
45	H3K4me3_TDH_immune	ccat.histone.trained	1	55.5555555555556	Inf	52.9411764705882
46	H3K4me3_TDH_immune	ccat.histone.trained	2	55.5555555555556	Inf	52.7777777777778
47	H3K4me3_TDH_immune	ccat.histone.trained	3	53.2763532763533	200	58.6831275720165
48	H3K4me3_TDH_immune	ccat.histone.trained	4	55.0216883550217	Inf	54.3703703703704
49	H3K4me3_TDH_other	ccat.histone.trained	1	63.0337078651685	400	56.875
50	H3K4me3_TDH_other	ccat.histone.trained	2	61.6190476190476	400	58.4375
51	H3K4me3_TDH_other	ccat.histone.trained	3	59.9082568807339	400	64.6428571428571
52	H3K4me3_TDH_other	ccat.histone.trained	4	59.3518518518519	300	66.8965517241379
53	H3K4me3_XJ_immune	ccat.histone.trained	1	50	Inf	46.1538461538462
54	H3K4me3_XJ_immune	ccat.histone.trained	2	50	Inf	45.4545454545455
55	H3K4me3_XJ_immune	ccat.histone.trained	3	47.2222222222222	Inf	53.3333333333333
56	H3K4me3_XJ_immune	ccat.histone.trained	4	48.7179487179487	Inf	50
57	H3K36me3_AM_immune	ccat.tf.default	1	47.6923076923077	5	48.1481481481481
58	H3K36me3_AM_immune	ccat.tf.default	2	46.6042154566745	5	51.0822510822511
59	H3K36me3_AM_immune	ccat.tf.default	3	47.3809523809524	5	48.8612836438923
60	H3K36me3_AM_immune	ccat.tf.default	4	49.4331065759637	5	42.6190476190476
61	H3K36me3_TDH_immune	ccat.tf.default	1	48	5	60
62	H3K36me3_TDH_immune	ccat.tf.default	2	49.8964803312629	5	50.3401360544218
63	H3K36me3_TDH_immune	ccat.tf.default	3	49.4824016563147	5	51.7006802721088
64	H3K36me3_TDH_immune	ccat.tf.default	4	53.3834586466165	5	44.1558441558442
65	H3K36me3_TDH_other	ccat.tf.default	1	57.6388888888889	5	82.1428571428571
66	H3K36me3_TDH_other	ccat.tf.default	2	64.4736842105263	5	64.5833333333333
67	H3K36me3_TDH_other	ccat.tf.default	3	65.9722222222222	5	60.7142857142857
68	H3K36me3_TDH_other	ccat.tf.default	4	69.375	5	45
69	H3K4me3_PGP_immune	ccat.tf.default	1	68.2753460531238	5	85.0129198966408
70	H3K4me3_PGP_immune	ccat.tf.default	2	75.527864312911	5	66.6666666666667
71	H3K4me3_PGP_immune	ccat.tf.default	3	75	5	68.082788671024
72	H3K4me3_PGP_immune	ccat.tf.default	4	74.1402116402116	5	70.3703703703704
73	H3K4me3_TDH_immune	ccat.tf.default	1	75.2360203340595	5	79.1938997821351
74	H3K4me3_TDH_immune	ccat.tf.default	2	80.1994301994302	5	63.3101851851852
75	H3K4me3_TDH_immune	ccat.tf.default	3	72.8937728937729	5	82.962962962963
76	H3K4me3_TDH_immune	ccat.tf.default	4	76.1428094761428	5	76.5925925925926
77	H3K4me3_TDH_other	ccat.tf.default	1	78.2022471910112	5	67.9166666666667
78	H3K4me3_TDH_other	ccat.tf.default	2	71.1428571428571	5	85.9375
79	H3K4me3_TDH_other	ccat.tf.default	3	74.954128440367	5	73.2142857142857
80	H3K4me3_TDH_other	ccat.tf.default	4	74.6296296296296	5	74.4827586206897
81	H3K4me3_XJ_immune	ccat.tf.default	1	77.8752436647173	5	80.0569800569801
82	H3K4me3_XJ_immune	ccat.tf.default	2	75.2777777777778	5	89.8989898989899
83	H3K4me3_XJ_immune	ccat.tf.default	3	81.3786008230453	5	71.358024691358
84	H3K4me3_XJ_immune	ccat.tf.default	4	79.4871794871795	5	75
85	H3K36me3_AM_immune	ccat.tf.trained	1	35.6043956043956	9.54992586021436	34.9206349206349
86	H3K36me3_AM_immune	ccat.tf.trained	2	34.9726775956284	8.7096358995608	38.5281385281385
87	H3K36me3_AM_immune	ccat.tf.trained	3	32.0634920634921	10.471285480509	44.7204968944099
88	H3K36me3_AM_immune	ccat.tf.trained	4	38.9266817838246	9.54992586021436	24.5238095238095
89	H3K36me3_TDH_immune	ccat.tf.trained	1	28	9.54992586021436	50.4761904761905
90	H3K36me3_TDH_immune	ccat.tf.trained	2	32.9192546583851	9.54992586021436	27.891156462585
91	H3K36me3_TDH_immune	ccat.tf.trained	3	34.1614906832298	7.94328234724282	27.2108843537415
92	H3K36me3_TDH_immune	ccat.tf.trained	4	31.8295739348371	10.471285480509	33.7662337662338
93	H3K36me3_TDH_other	ccat.tf.trained	1	41.6666666666667	7.94328234724282	73.2142857142857
94	H3K36me3_TDH_other	ccat.tf.trained	2	48.6842105263158	11.4815362149688	54.1666666666667
95	H3K36me3_TDH_other	ccat.tf.trained	3	47.9166666666667	9.54992586021436	55.3571428571429
96	H3K36me3_TDH_other	ccat.tf.trained	4	59.375	8.7096358995608	12.5
97	H3K4me3_PGP_immune	ccat.tf.trained	1	56.7527123082679	100	56.9336778639104
98	H3K4me3_PGP_immune	ccat.tf.trained	2	57.8400830737279	Inf	53.968253968254
99	H3K4me3_PGP_immune	ccat.tf.trained	3	57.1330589849108	200	55.7734204793028
100	H3K4me3_PGP_immune	ccat.tf.trained	4	55.4563492063492	100	61.8518518518519
101	H3K4me3_TDH_immune	ccat.tf.trained	1	55.2650689905592	100	53.0501089324619
102	H3K4me3_TDH_immune	ccat.tf.trained	2	55.5555555555556	Inf	52.7777777777778
103	H3K4me3_TDH_immune	ccat.tf.trained	3	52.9507529507529	100	58.2716049382716
104	H3K4me3_TDH_immune	ccat.tf.trained	4	54.7213880547214	100	54.6666666666667
105	H3K4me3_TDH_other	ccat.tf.trained	1	62.8089887640449	200	56.25
106	H3K4me3_TDH_other	ccat.tf.trained	2	58.1904761904762	28.8403150312661	70.3125
107	H3K4me3_TDH_other	ccat.tf.trained	3	59.8165137614679	300	64.6428571428571
108	H3K4me3_TDH_other	ccat.tf.trained	4	58.6111111111111	100	65.1724137931034
